证券代码,股票代码,证券名称,公司中文名称,公司英文名称,股票种类,是否上市
000001.SZ,1,平安银行,平安银行股份有限公司,"Ping An Bank Co., Ltd.",A股,上市
000002.SZ,2,万科A,万科企业股份有限公司,"China Vanke Co.,Ltd.",A股,上市
000004.SZ,4,ST国华,深圳国华网安科技股份有限公司,"Shenzhen GuoHua Network Security Technology Co., Ltd.",A股,上市
000005.SZ,5,ST星源,深圳世纪星源股份有限公司,Shenzhen Fountain Corporation,A股,上市
000006.SZ,6,深振业A,深圳市振业(集团)股份有限公司,"Shenzhen Zhenye(Group)Co.,Ltd.",A股,上市
000007.SZ,7,*ST全新,深圳市全新好股份有限公司,"Shenzhen Quanxinhao Co,.Ltd.",A股,上市
000008.SZ,8,神州高铁,神州高铁技术股份有限公司,"China High-Speed Railway Technology Co.,Ltd.",A股,上市
000009.SZ,9,中国宝安,中国宝安集团股份有限公司,"China Baoan Group Co.,Ltd.",A股,上市
000010.SZ,10,美丽生态,深圳美丽生态股份有限公司,"Shenzhen Ecobeauty Co.,Ltd.",A股,上市
000011.SZ,11,深物业A,深圳市物业发展(集团)股份有限公司,Shenzhen Properties & Resources Development (Group) Ltd.,A股,上市
000012.SZ,12,南玻A,中国南玻集团股份有限公司,"CSG Holding Co.,Ltd.",A股,上市
000014.SZ,14,沙河股份,沙河实业股份有限公司,"Shahe Industrial Co.,Ltd.",A股,上市
000016.SZ,16,深康佳A,康佳集团股份有限公司,"Konka Group Co.,Ltd.",A股,上市
000017.SZ,17,深中华A,深圳中华自行车(集团)股份有限公司,Shenzhen China Bicycle Company (Holdings) Limited,A股,上市
000019.SZ,19,深粮控股,深圳市深粮控股股份有限公司,"SHENZHEN CEREALS HOLDINGS CO.,LTD.",A股,上市
000020.SZ,20,深华发A,深圳中恒华发股份有限公司,"Shenzhen Zhongheng Huafa Co.,Ltd.",A股,上市
000021.SZ,21,深科技,深圳长城开发科技股份有限公司,"Shenzhen Kaifa Technology Co., Ltd.",A股,上市
000023.SZ,23,深天地A,深圳市天地(集团)股份有限公司,"Shenzhen Universe (Group) Co.,Ltd.",A股,上市
000025.SZ,25,特力A,深圳市特力(集团)股份有限公司,"Shenzhen Tellus Holding Co.,Ltd.",A股,上市
000026.SZ,26,飞亚达,飞亚达精密科技股份有限公司,"FIYTA Precision Technology Co., Ltd.",A股,上市
000027.SZ,27,深圳能源,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",A股,上市
000028.SZ,28,国药一致,国药集团一致药业股份有限公司,China National Accord Medicines Corporation Ltd.,A股,上市
000029.SZ,29,深深房A,深圳经济特区房地产(集团)股份有限公司,"Shenzhen Special Economic Zone Real Estate&Properties (Group).Co.,Ltd.",A股,上市
000030.SZ,30,富奥股份,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,A股,上市
000031.SZ,31,大悦城,大悦城控股集团股份有限公司,"GRANDJOY HOLDINGS GROUP CO.,LTD.",A股,上市
000032.SZ,32,深桑达A,深圳市桑达实业股份有限公司,"Shenzhen Sed Industry Co.,Ltd.",A股,上市
000034.SZ,34,神州数码,神州数码集团股份有限公司,"Digital China Group Co.,Ltd.",A股,上市
000035.SZ,35,中国天楹,中国天楹股份有限公司,China Tianying Inc.,A股,上市
000036.SZ,36,华联控股,华联控股股份有限公司,China Union Holdings Ltd.,A股,上市
000037.SZ,37,深南电A,深圳南山热电股份有限公司,"Shenzhen Nanshan Power Co.,Ltd.",A股,上市
000038.SZ,38,*ST大通,深圳大通实业股份有限公司,"Shenzhen Capstone Industrial Co.,Ltd.",A股,上市
000039.SZ,39,中集集团,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",A股,上市
000040.SZ,40,东旭蓝天,东旭蓝天新能源股份有限公司,"Tunghsu Azure Renewable Energy Co.,Ltd.",A股,上市
000042.SZ,42,中洲控股,深圳市中洲投资控股股份有限公司,"Shenzhen Centralcon Investment Holding Co.,Ltd.",A股,上市
